B._velezensis_strain_NJAU-Z9.fna	B._subtilis_strain_4ZT.fna	81.244	646	1289
B._velezensis_strain_NJAU-Z9.fna	B._subtilis_strain_YZ-1.fna	81.2318	674	1289
B._velezensis_strain_NJAU-Z9.fna	B._subtilis_strain_PK5_52.fna	81.2099	664	1289
B._velezensis_strain_NJAU-Z9.fna	B._halotolerans_strain_KKD1.fna	81.1122	719	1289
B._velezensis_strain_NJAU-Z9.fna	B._subtilis_strain_SRCM116301.fna	81.1105	664	1289
B._velezensis_strain_NJAU-Z9.fna	B._sonorensis_strain_SRCM101395.fna	78.9807	339	1289
B._velezensis_strain_NJAU-Z9.fna	B._paralicheniformis_strain_SUBG0010.fna	78.6104	364	1289
B._velezensis_strain_Pm9.fna	B._velezensis_strain_Pm9.fna	100	1296	1296
B._velezensis_strain_Pm9.fna	B._velezensis_strain_SMU-T0423.fna	99.3752	1244	1296
B._velezensis_strain_Pm9.fna	B._velezensis_strain_NJAU-Z9.fna	99.3248	1242	1296
B._velezensis_strain_Pm9.fna	B._velezensis_strain_DJ4.fna	99.29	1249	1296
B._velezensis_strain_Pm9.fna	B._velezensis_strain_SCGB_574.fna	97.6018	1230	1296
B._velezensis_strain_Pm9.fna	B._velezensis_strain_Ag75.fna	97.5553	1238	1296
B._velezensis_strain_Pm9.fna	B._velezensis_strain_BS-G1.fna	97.5516	1235	1296
B._velezensis_strain_Pm9.fna	B._velezensis_strain_JM199.fna	97.5338	1235	1296
B._velezensis_strain_Pm9.fna	Strain_FO-S2.fna	97.4303	1213	1296
B._velezensis_strain_Pm9.fna	B._subtilis_strain_YZ-1.fna	81.1808	677	1296
